Filename,SampleID
AF_T1_0,AF_T1_0
AF_T1_100,AF_T1_100
AF_T1_102,AF_T1_102
AF_T1_2,AF_T1_2
AF_T1_200,AF_T1_200
AF_T1_202,AF_T1_202
AF_T2_0,AF_T2_0
AF_T2_100,AF_T2_100
AF_T2_102,AF_T2_102
AF_T2_2,AF_T2_2
AF_T2_200,AF_T2_200
AF_T2_202,AF_T2_202
AF_T3_0,AF_T3_0
AF_T3_100,AF_T3_100
AF_T3_102,AF_T3_102
AF_T3_2,AF_T3_2
AF_T3_200,AF_T3_200
AF_T3_202,AF_T3_202
HV_T1_0,HV_T1_0
HV_T1_100,HV_T1_100
HV_T1_102,HV_T1_102
HV_T1_2,HV_T1_2
HV_T1_200,HV_T1_200
HV_T1_202,HV_T1_202
HV_T2_0,HV_T2_0
HV_T2_100,HV_T2_100
HV_T2_102,HV_T2_102
HV_T2_2,HV_T2_2
HV_T2_200,HV_T2_200
HV_T2_202,HV_T2_202
HV_T3_0,HV_T3_0
HV_T3_100,HV_T3_100
HV_T3_102,HV_T3_102
HV_T3_2,HV_T3_2
HV_T3_200,HV_T3_200
HV_T3_202,HV_T3_202
OW_T1_0,OW_T1_0
OW_T1_100,OW_T1_100
OW_T1_102,OW_T1_102
OW_T1_2,OW_T1_2
OW_T1_200,OW_T1_200
OW_T1_202,OW_T1_202
OW_T2_0,OW_T2_0
OW_T2_100,OW_T2_100
OW_T2_102,OW_T2_102
OW_T2_2,OW_T2_2
OW_T2_200,OW_T2_200
OW_T2_202,OW_T2_202
OW_T3_0,OW_T3_0
OW_T3_100,OW_T3_100
OW_T3_102,OW_T3_102
OW_T3_2,OW_T3_2
OW_T3_200,OW_T3_200
OW_T3_202,OW_T3_202
RL_T1_0,RL_T1_0
RL_T1_100,RL_T1_100
RL_T1_102,RL_T1_102
RL_T1_2,RL_T1_2
RL_T1_200,RL_T1_200
RL_T1_202,RL_T1_202
RL_T2_0,RL_T2_0
RL_T2_100,RL_T2_100
RL_T2_102,RL_T2_102
RL_T2_2,RL_T2_2
RL_T2_200,RL_T2_200
RL_T2_202,RL_T2_202
RL_T3_0,RL_T3_0
RL_T3_100,RL_T3_100
RL_T3_102,RL_T3_102
RL_T3_2,RL_T3_2
RL_T3_200,RL_T3_200
RL_T3_202,RL_T3_202