SampleID,SITE,TRAN,DIST
AF_T1_0,AF,T1,0
AF_T1_100,AF,T1,100
AF_T1_102,AF,T1,102
AF_T1_2,AF,T1,2
AF_T1_200,AF,T1,200
AF_T1_202,AF,T1,202
AF_T2_0,AF,T2,0
AF_T2_100,AF,T2,100
AF_T2_102,AF,T2,102
AF_T2_2,AF,T2,2
AF_T2_200,AF,T2,200
AF_T2_202,AF,T2,202
AF_T3_0,AF,T3,0
AF_T3_100,AF,T3,100
AF_T3_102,AF,T3,102
AF_T3_2,AF,T3,2
AF_T3_200,AF,T3,200
AF_T3_202,AF,T3,202
HV_T1_0,HV,T1,0
HV_T1_100,HV,T1,100
HV_T1_102,HV,T1,102
HV_T1_2,HV,T1,2
HV_T1_200,HV,T1,200
HV_T1_202,HV,T1,202
HV_T2_0,HV,T2,0
HV_T2_100,HV,T2,100
HV_T2_102,HV,T2,102
HV_T2_2,HV,T2,2
HV_T2_200,HV,T2,200
HV_T2_202,HV,T2,202
HV_T3_0,HV,T3,0
HV_T3_100,HV,T3,100
HV_T3_102,HV,T3,102
HV_T3_2,HV,T3,2
HV_T3_200,HV,T3,200
HV_T3_202,HV,T3,202
OW_T1_0,OW,T1,0
OW_T1_100,OW,T1,100
OW_T1_102,OW,T1,102
OW_T1_2,OW,T1,2
OW_T1_200,OW,T1,200
OW_T1_202,OW,T1,202
OW_T2_0,OW,T2,0
OW_T2_100,OW,T2,100
OW_T2_102,OW,T2,102
OW_T2_2,OW,T2,2
OW_T2_200,OW,T2,200
OW_T2_202,OW,T2,202
OW_T3_0,OW,T3,0
OW_T3_100,OW,T3,100
OW_T3_102,OW,T3,102
OW_T3_2,OW,T3,2
OW_T3_200,OW,T3,200
OW_T3_202,OW,T3,202
RL_T1_0,RL,T1,0
RL_T1_100,RL,T1,100
RL_T1_102,RL,T1,102
RL_T1_2,RL,T1,2
RL_T1_200,RL,T1,200
RL_T1_202,RL,T1,202
RL_T2_0,RL,T2,0
RL_T2_100,RL,T2,100
RL_T2_102,RL,T2,102
RL_T2_2,RL,T2,2
RL_T2_200,RL,T2,200
RL_T2_202,RL,T2,202
RL_T3_0,RL,T3,0
RL_T3_100,RL,T3,100
RL_T3_102,RL,T3,102
RL_T3_2,RL,T3,2
RL_T3_200,RL,T3,200
RL_T3_202,RL,T3,202